method,pattern,scenario,missing_rate,continuous_rmse_mean,continuous_rmse_std,dataset
MeanMode,MCAR,complete_train,0.2,15.986929759145,3.2127923295520744,heart
MeanMode,MCAR,complete_train,0.3,16.001097302745897,1.652190092111167,heart
MeanMode,MCAR,incomplete_train,0.1,15.912804542579792,2.9012056296940982,heart
MeanMode,MCAR,incomplete_train,0.2,15.986929759145,3.2127923295520744,heart
MeanMode,MCAR,incomplete_train,0.3,16.001097302745897,1.652190092111167,heart
MeanMode,MNAR,complete_train,0.1,15.435179528521136,5.051345428331975,heart
MeanMode,MNAR,complete_train,0.2,15.880997812172476,2.343169006044937,heart
MeanMode,MNAR,complete_train,0.3,15.92019689640934,2.395848783766705,heart
MeanMode,MNAR,incomplete_train,0.1,15.435179528521136,5.051345428331975,heart
MeanMode,MNAR,incomplete_train,0.2,15.880997812172476,2.343169006044937,heart
MeanMode,MNAR,incomplete_train,0.3,15.92019689640934,2.395848783766705,heart
MissForest,MAR,complete_train,0.1,16.96179767095174,5.27232740915645,heart
MissForest,MAR,complete_train,0.2,19.410077144678233,2.5189061735015064,heart
MissForest,MAR,complete_train,0.3,15.012706745370352,2.8692776308389276,heart
MissForest,MAR,incomplete_train,0.1,16.96179767095174,5.27232740915645,heart
MissForest,MAR,incomplete_train,0.2,19.410077144678233,2.5189061735015064,heart
MissForest,MAR,incomplete_train,0.3,15.012706745370352,2.8692776308389276,heart
MissForest,MCAR,complete_train,0.1,16.86208502611015,2.3604031190174837,heart
MissForest,MCAR,complete_train,0.2,17.532829876640104,1.2435964699723008,heart
MissForest,MCAR,complete_train,0.3,17.323369371438424,1.0139239430724745,heart
MissForest,MCAR,incomplete_train,0.1,16.86208502611015,2.3604031190174837,heart
MissForest,MCAR,incomplete_train,0.2,17.532829876640104,1.2435964699723008,heart
MissForest,MCAR,incomplete_train,0.3,17.323369371438424,1.0139239430724745,heart
MissForest,MNAR,complete_train,0.1,14.783509481042028,6.5951562703708815,heart
MissForest,MNAR,complete_train,0.2,16.584544827304054,1.5085773473958615,heart
MissForest,MNAR,complete_train,0.3,15.473052198016273,2.494744631579768,heart
MissForest,MNAR,incomplete_train,0.1,14.783509481042028,6.5951562703708815,heart
MissForest,MNAR,incomplete_train,0.2,16.584544827304054,1.5085773473958615,heart
MissForest,MNAR,incomplete_train,0.3,15.473052198016273,2.494744631579768,heart
BGAIN,MAR,complete_train,0.1,5.793778281761965,1.332601912374314,cancer
BGAIN,MAR,complete_train,0.2,4.704540317242548,1.0676032471197638,cancer
BGAIN,MAR,complete_train,0.3,4.56983359349382,0.34802381836359125,cancer
BGAIN,MCAR,complete_train,0.1,4.78958415081666,0.6590107054293565,cancer
BGAIN,MCAR,complete_train,0.2,4.711067521846635,0.4333501734132758,cancer
BGAIN,MCAR,complete_train,0.3,4.784336296908574,0.33797476918851965,cancer
BGAIN,MNAR,complete_train,0.1,4.320756465159874,0.9664689798018059,cancer
BGAIN,MNAR,complete_train,0.2,4.036703892921986,0.8955496865696031,cancer
BGAIN,MNAR,complete_train,0.3,4.027034661771173,0.05630338788600242,cancer
BN_AUG_Imputer,MAR,complete_train,0.1,4.775772851405625,0.35074302103022414,cancer
BN_AUG_Imputer,MAR,complete_train,0.2,4.793672948537968,0.3060300707572178,cancer
BN_AUG_Imputer,MAR,complete_train,0.3,4.665802127807259,0.21492038829152926,cancer
BN_AUG_Imputer,MAR,incomplete_train,0.1,4.914739174083996,0.6303116402613,cancer
BN_AUG_Imputer,MAR,incomplete_train,0.2,4.574008940369235,0.18349409982999623,cancer
BN_AUG_Imputer,MAR,incomplete_train,0.3,4.654894009145079,0.2748768104610886,cancer
BN_AUG_Imputer,MCAR,complete_train,0.1,3.256653496871421,0.24647016010868283,cancer
BN_AUG_Imputer,MCAR,complete_train,0.2,3.1174106535243515,0.24201373586106031,cancer
BN_AUG_Imputer,MCAR,complete_train,0.3,3.1527158201254957,0.06644885335424182,cancer
BN_AUG_Imputer,MCAR,incomplete_train,0.1,3.238728120252395,0.24492893372983773,cancer
BN_AUG_Imputer,MCAR,incomplete_train,0.2,3.2264425120050655,0.1242640372449146,cancer
BN_AUG_Imputer,MCAR,incomplete_train,0.3,3.361052668818855,0.15055712369854213,cancer
BN_AUG_Imputer,MNAR,complete_train,0.1,1.4575839286677208,0.19693917278068304,cancer
BN_AUG_Imputer,MNAR,complete_train,0.2,1.4080368878318936,0.31206406619274685,cancer
BN_AUG_Imputer,MNAR,complete_train,0.3,1.391503081023084,0.19319672750205902,cancer
BN_AUG_Imputer,MNAR,incomplete_train,0.1,1.3176405733655119,0.1723606090846566,cancer
BN_AUG_Imputer,MNAR,incomplete_train,0.2,1.3837649576711182,0.2167345912010722,cancer
BN_AUG_Imputer,MNAR,incomplete_train,0.3,1.2729048012405055,0.05811909998362734,cancer
KNN,MAR,complete_train,0.1,2.8747695670184776,0.13069722995759686,cancer
KNN,MAR,complete_train,0.2,2.6266345083881943,0.14088278064845625,cancer
KNN,MAR,complete_train,0.3,2.7823557812355793,0.11200444227035887,cancer
KNN,MAR,incomplete_train,0.1,2.8747695670184776,0.13069722995759686,cancer
KNN,MAR,incomplete_train,0.2,2.6266345083881943,0.14088278064845625,cancer
KNN,MAR,incomplete_train,0.3,2.7823557812355793,0.11200444227035887,cancer
KNN,MCAR,complete_train,0.1,1.8678067775787823,0.049626612013126584,cancer
KNN,MCAR,complete_train,0.2,1.9360335866786553,0.09841041596134646,cancer
KNN,MCAR,complete_train,0.3,2.0336680121229778,0.09079031003917025,cancer
KNN,MCAR,incomplete_train,0.1,1.8678067775787823,0.049626612013126584,cancer
KNN,MCAR,incomplete_train,0.2,1.9360335866786553,0.09841041596134646,cancer
KNN,MCAR,incomplete_train,0.3,2.0336680121229778,0.09079031003917025,cancer
KNN,MNAR,complete_train,0.1,1.1322533235847725,0.13966275460751684,cancer
KNN,MNAR,complete_train,0.2,1.1797402419459955,0.11672913930425526,cancer
KNN,MNAR,complete_train,0.3,1.1354001216462404,0.1057555985837988,cancer
